ミクたんのテーマ	OSTER project,OSTER project
龍ノ啼ク箱庭拠リ	弱音P,弱音P,弱音P,デッドボールP
あなたがくれたオト	弱音P,弱音P,弱音P
忘却心中	Asaki No'9,OPA,OPA
離さんといてよ	X-Plorez,X-Plorez,X-Plorez
Lividus	andromeca,andromeca,andromeca
おてんば姫の歌♪	トラボルタP,トラボルタP,トラボルタP
護法少女ソワカちゃん	kihirohito,kihirohito,kihirohito
EX-GIRL	くちばしP,くちばしP,くちばしP
初音ミクさんの心境	GonGoss,GonGoss,GonGoss
迷惑なあなた	目玉P,目玉P
チイサナセカイ　OPA	Asaki No'9,OPA,OPA
Close My Eyes	shu-tP,shu-tP
In The Moment	shu-tP,shu-tP
同じように	ボカロ互助会,ボカロ互助会,ボカロ互助会,IGASIO
教えて!! 魔法のLyric	ちょむP,ちょむP,ちょむP
よつばのクローバー	トラボルタP,トラボルタP,トラボルタP
Time&Space	シグナルP,シグナルP
リンリンシグナル	シグナルP,シグナルP,シグナルP
アキアカネ	andromeca,andromeca,andromeca
無条件幸福	ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会
FortuneDiver	シンP,シンP,シンP
ウタハコ:／／H	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
逆襲のMeiko	BingoBongoP,BingoBongoP,BingoBongoP
PASSIONAIRE	yanagiP,yanagiP,yanagiP
コンビニ	cokesi,cokesi,cokesi
White Lights	葉浦P,葉浦P,葉浦P,ピアプロ
Sound of Virginity	UPNUSY,UPNUSY
DTMってなぁに？	ねぎたまP,ねぎたまP,ねぎたまP
雪峰 ～yukimine～	彩音P,彩音P,彩音P
うたごえとどけ！にこにこどうが	ごまあえP,ごまあえP,ごまあえP
魔法少女ラジカルペイント	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）,ココロ,食え,■■■,ハト,ラジカルペイント,オレオレ動画,ぶちぬけ、２００・８↑,そんな高音,ＳＨＢ,なーらばー☆,緊急停止装置作動,弱音,ネギが刺されば,高速展開・リズムがとれない,ヨロシクねっ☆,Happey,この想い届けたいよ,卑怯,■■ｎランド,深刻なエラーが発生しました,それは　愛情の裏返し,何故か変換できない,あなたの歌姫,牛乳飲め！,Packaged,DTMってなぁに？,0,恋の三角関数☆,ハジメテノオト,RAINBOWロード,街も・・人も・・誰も・・,この世のすべてに,視線が冷たい,なーらばー☆
noodle	あわあわp,あわあわp,あわあわp
chocolat	あわあわp,あわあわp,あわあわp
落葉とワルツを	ichiP,ichiP,ichiP
万感吟遊	F.Koshiba,F.Koshiba,F.Koshiba
椛	yae,かじゅきP,かじゅきP
卑怯戦隊うろたんだー	シンP,シンP,シンP
Life of Melody	Kou,Kou,Kou,ピアプロ
見えない涙を流すなら	ぺぺろんP,ぺぺろんP,ぺぺろんP
SING＆SMILE	Re:nG,Re:nG,Re:nG
心の詩　てつやP	てつやP,てつやP
純情系化学少女ケミカル☆リン	PP（燐P）,PP（燐P）,PP（燐P）
FAIRYLAND	流星P,流星P,流星P
サヨナラ　そそそP	そそそP,そそそP,そそそP
ロザリオ	柏餅P,柏餅P,柏餅P
桜舞う日	シグナルP,シグナルP
雨宿りの二人	ヤスオP,ヤスオP,ヤスオP
LOVELY☆VOCALOID	柏餅P,柏餅P,柏餅P,初音ミク,リンレン
GIRL meets BOY	AEGIS,AEGIS,AEGIS
Voice　19's Sound Factory	19's Sound Factory,19's Sound Factory,19's Sound Factory
いつしか、必ず。	デッドボールP,デッドボールP,デッドボールP
ドキドキ♪ハートチューン	yae,かじゅきP,かじゅきP
cappuccino	あわあわp,あわあわp,あわあわp
倦怠期	くちばしP,くちばしP
over16bit!	かじゅきP,yae,かじゅきP,かじゅきP,Re:package
Hello, my master.	ぺぺろんP,ぺぺろんP,ぺぺろんP
Overcome	シグナルP,シグナルP,シグナルP
Shooting Star Prologue	そそそP,そそそP,そそそP
La Noël Sucrée ～おさとうノエル～	リョータイ,ちえP
WAY	Re:nG,Re:nG,Re:nG
月花ノ姫歌　ちえP	リョータイ,ちえP,ちえP,PIAPRO（リョータイさんのページ）
ピンクスパイダー	トラボルタP,トラボルタP,トラボルタP
恋スルVOC@LOID -テイクゼロ-	OSTER project,OSTER project,OSTER project
Birth　19's Sound Factory	19's Sound Factory,19's Sound Factory,19's Sound Factory
きょうもうたう	Shibayan,Shibayan,Shibayan
時計廻る午後六時	モジャP,モジャP,モジャP,ピアプロ
晴れときどきにわか雨	Re:nG,Re:nG,Re:nG
初音ミクの終焉 -Worst END-	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
サラリーマンのうた	彩音P,彩音P,彩音P,ニコニコ動画
Recollection　DUNKEL　
恋の化学反応☆	畳P（North-T）,畳P（North-T）,畳P（North-T）
Tears In Blue	19's Sound Factory,19's Sound Factory,19's Sound Factory
秋空	夜皇禰 実,夜皇禰 実,夜皇禰 実
涙のチョコレートモンスター	コーホーP,コーホーP,コーホーP
hello, world　null	初音ミク
みくみっくす	juraki,juraki,juraki
ねがい　juraki	juraki,juraki
夏秋冬	juraki,juraki,juraki
不思議な幸せ	ネジP,ネジP,ネジP
黄昏サーカス	ネジP,ネジP,ネジP
ロケット宅宙便	リョータイ,ちえP,ちえP
放課後ちょこかっぷ	リョータイ,ちえP,ちえP
雪灯	てつやP
peace world	てつやP
wing　てつやP	てつやP,てつやP
少し楽しくなる時報（Time Signal）	19's Sound Factory,19's Sound Factory,19's Sound Factory
涙枯れるまで泣くほうがいいかも	曲者P,曲者P,曲者P
te-tote-totte～手と手とって	曲者P,曲者P,曲者P
Pteron	andromeca,andromeca,andromeca
リンレンラリリン	ゆにめもP,ゆにめもP,ゆにめもP
前へ　LOVE&P	LOVE&P;,LOVE&P;,LOVE&P;
peace of the world	Love&P;,Love&P;,Love&P;
色あせる笑顔	kotaro,kotaro,kotaro
ハッピースマイル	ぶりるP,ぶりるP,ぶりるP
夢みることり	はややP,はややP,はややP,KARENT
Universe.	ロリP,ロリP,ロリP
嘘ついてるの	フナコシP,フナコシP,フナコシP
ほんとは分かってる	フナコシP,フナコシP,フナコシP
記憶	フナコシP,フナコシP,フナコシP
中学生　フナコシP	フナコシP,フナコシP,フナコシP
とりのえさ	osatohP,osatohP
wish ～靴紐を結んで～	osatohP,osatohP
黒い森	ロリコンP,ロリコンP,ロリコンP
月の踊り子	情熱P,情熱P
初音の世界	山口菊野,YS（クリアP）,YS（クリアP）
メランコリー	19's Sound Factory,19's Sound Factory,19's Sound Factory
葱ヶ原の戦い	waraP,waraP,waraP
哀愁と情熱のロードローラー	情熱P,情熱P
水鏡の庭	T-ism,Clean Tears,Clean Tears
Dragoon	T-ism,Clean Tears,Clean Tears
みっくりすます	doriko,doriko,doriko
MIA VOCE	X-Plorez,X-Plorez,X-Plorez
チリユクトキハ	X-Plorez,X-Plorez,X-Plorez
どこまでもツヅク色	ジェバンニP,ジェバンニP,ジェバンニP
シューティングスター　ジェバンニP	ジェバンニP,ジェバンニP,ジェバンニP
ドント☆クライ	ジェバンニP,ジェバンニP,ジェバンニP
リンリンリンってしてくりん	ジェバンニP,ジェバンニP,ジェバンニP
リンカーネーション	ジェバンニP,ジェバンニP,ジェバンニP
さよなら、ニコニコ動画	ジェバンニP,ジェバンニP,ジェバンニP
御楽シミ界	コーホーP,コーホーP,コーホーP
妖怪少女	コーホーP,コーホーP,コーホーP
闇の唄	コーホーP,コーホーP,コーホーP
呪いの世界	コーホーP,コーホーP,コーホーP
夕やみも夜明けにかわる	すくみずP,すくみずP,すくみずP
My Brand New Love	ああんP,ああんP,ああんP
クリスマスですが何か？	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
Tower of Sunz	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
トライアル	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
ハイブリッド	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
平日（くもり）	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
ヒヤリハット	すんｚりヴぇｒP,すんｚりヴぇｒP,すんｚりヴぇｒP
なっとく森の歌	なっとくP,なっとくP,なっとくP
100年後のあなたへ	なっとくP,なっとくP,なっとくP
Everwhite	ミニスカP,ミニスカP,ミニスカP
子猫のパヤパヤ	ワンカップP,ワンカップP,ワンカップP
幸せの種	切儚,つるつるP
Love of a Groove	すけP,すけP,すけP
Chillyditty Of February	DARS,DARS,DARS
それが僕らのジャスティス	シンP,シンP,シンP
cryosphere	yashiro,yashiro,yashiro
クリスマス中止のお知らせ	せろふぉと,せろふぉと
消えゆくあなたへ	鼻毛P,鼻毛P,鼻毛P
Do you want my heart？	Kou,Kou,Kou
夕暮れノスタルジック	guriplus,guriplus,guriplus
CHAIN　samfree	samfree,samfree,samfree
朝焼けのうた	文鳥P,文鳥P,文鳥P
Angel Heart	初音ミク
壊れた時計	蒼P,蒼P,蒼P
10月の雨　曲者P	曲者P,曲者P,曲者P
雪が舞い降りたら　
レンxミクの電・脳☆スキル!!	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）,電脳スキル
花　カラオケP	カラオケP,カラオケP
電空少女	HMOとかの中の人,HMOとかの中の人,HMOとかの中の人
君と僕　おパンクP	おパンクP,おパンクP,おパンクP
HEART BREAKER	いーえるP,いーえるP,いーえるP
那由他の彼方まで	釣り師P,釣り師P,釣り師P
最終電車	GlassOnion,GlassOnion,GlassOnion
あ　sansuiP	sansuiP,sansuiP,sansuiP
アクリル	sansuiP,sansuiP,sansuiP
ユメレア	sansuiP,sansuiP,sansuiP
TからSへ	KAY,KAY,KAY
恋は戦争	ryo,ryo,ryo
桜ノ雨	halyosy,halyosy,halyosy
after resolution	yashiro,yashiro,yashiro
あかいせかい	ミナグ,ミナグ,ミナグ
氷結のディスコ	kiichi（なんとかP）,kiichi（なんとかP）,kiichi（なんとかP）
Miktronica	kiichi（なんとかP）,kiichi（なんとかP）,kiichi（なんとかP）
Frogging Dance	鼻毛P,鼻毛P,鼻毛P
君のメロディー	samfree,samfree,samfree
アイサツロボット	裏コマンダーP,裏コマンダーP,裏コマンダーP
Machine Meiden	兄弟P,兄弟P,兄弟P
バースデイ	鮭P(Shake Sphere),鮭P(Shake Sphere),鮭P(Shake Sphere)
朝の時間	Bumpyうるし,Bumpyうるし,Bumpyうるし
ふゆはこたつから出ない　
忘れ歌	涼風涼雨,涼風涼雨,涼風涼雨
優しい気持ち	涼風P,涼風P,涼風P
初音ミクのうた	だいすけP,OXYGEN,だいすけP,だいすけP
いのちのうた　haruna808	haruna808,haruna808,haruna808
The thought to tell	shu-tP,shu-tP
Crystal	shu-tP
surely　shu-tP	shu-tP,shu-tP
ハッピネス	X-Plorez,X-Plorez,X-Plorez
Oh Year!!!	ふなむしP,ふなむしP,ふなむしP
同じ月の下で	ふなむしP,ふなむしP,ふなむしP
都市	涼風P,涼風P,涼風P
anxiety	ふなむしP,ふなむしP,ふなむしP
銀の夢	涼風P,涼風P,涼風P
Snowflake　ふなむしP	ふなむしP,ふなむしP,ふなむしP
enthusiasm	ふなむしP,ふなむしP,ふなむしP
やっぱ金やんか	X-Plorez,X-Plorez,X-Plorez
例えば僕が消え去って	ふなむしP,ふなむしP,ふなむしP
404 Not Found ～Mの歌～	haruna808,haruna808,haruna808
星夜の夢	文鳥P,文鳥P,文鳥P
風切羽	兄弟P,兄弟P,兄弟P
だいじょうぶだよ	UPNUSY,UPNUSY,UPNUSY
Linkage	RozenkreuzP,RozenkreuzP,RozenkreuzP
コトバ　キモチ	チーターガールP,チーターガールP,チーターガールP
SOUL FREE	LINCO,チーターガールP,チーターガールP
ヒンディーピープル	チーターガールP,チーターガールP,チーターガールP,初音ミク
粉雪にのせて	チーターガールP,チーターガールP,チーターガールP,初音ミク
歯車／油絵	チーターガールP,チーターガールP,チーターガールP
フルチン☆ブギ	LINCO,チーターガールP,チーターガールP
眠り姫　チーターガールP	チーターガールP,チーターガールP,チーターガールP
空へ　
遠き日の桜へ	ぺぺろんP,ぺぺろんP,ぺぺろんP
翼歌	あわあわp,あわあわp,あわあわp
桜の花びら咲くころにもう一度ここで逢いましょう	ichiP,ichiP,ichiP
Various feelings	shu-tP,kaya,shu-tP,kaya,shu-tP,kaya,ピアプロ
Morning Good Do	リトラクチャーズ,リトラクチャーズ,リトラクチャーズ
ANOTHER PROMISE	トラP,トラP,トラP,作者HP
Captured	トラP,トラP,トラP,作者HP
ひとりにしないで。	プーチンP,プーチンP,プーチンP
RAINBOWロード	秦野P,秦野P,秦野P
I shine without you	The Lying Low,The Lying Low,The Lying Low
Existence　shu-tP	shu-tP,shu-tP
ココロ	トラボルタP,トラボルタP,トラボルタP
シンゲツのモリ	akatoriP,akatoriP,akatoriP
ネオ☆仁義	レインロード,レインロード,レインロード
SPICE!	流星P,流星P,流星P
Next Stage　そそそP	そそそP,そそそP,そそそP
カンタレラ	黒うさP,黒うさP,黒うさP,KARENT,こちら
空の物語	akatoriP,akatoriP,akatoriP
39　Otomania	Otomania.net（おとまにあどっとねっと）,Otomania,Otomania,Otomania
琥珀の風	ミニスカP,ミニスカP,ミニスカP
三寒四温	うどんゲルゲ,うどんゲルゲ,うどんゲルゲ
Iceheart	テラ小室P,テラ小室P,テラ小室P
あの人に会える　
桜吹雪が如く	レインロード,レインロード,レインロード
荒野の先に・・・	レインロード,レインロード,レインロード
きっとこの場所で	そそそP,そそそP,そそそP
Whisper	tysP,tysP,tysP
嘘歌	あわあわp,あわあわp,あわあわp
鏡の音	グロP,グロP,グロP,PIAPRO
ひとひら	ichiP,ichiP,ichiP,初音ミク
BLUE OF MIND	Hal,Hal,Hal
彩花	蒼雨宇宙,iroha,iroha,KarenT,林檎
スターロード	秦野P,秦野P,秦野P
いつしか	ぢょんP,ぢょんP,ぢょんP
スターシップ	KEI,KEI,KEI
0　cosMo（暴走P）	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
Forgotten Words	ふなむしP,ふなむしP,ふなむしP
愛する景色に	流星P,流星P,流星P
みくのこもりうた	UPNUSY,UPNUSY,UPNUSY
ずっと、ずっと・・・	黒うさP,黒うさP
海の向こう	spyreP,spyreP
穏やかに日常	Love&P;,Love&P;,Love&P;
カラクリノコイ	andromeca,andromeca,andromeca
大したことでも	フナコシP,フナコシP,フナコシP
R☆L滑舌探求歌	ばすてぃP,ばすてぃP,ばすてぃP
サクラアメ	mak.kanz@wa,Kou,Kou,ピアプロ
画面の向こうのあなた	デッドボールP,デッドボールP,デッドボールP
Cyclone	黒うさP,黒うさP,黒うさP
いっしょにね！	プーチンP,プーチンP,プーチンP
ネギを食べなさいっ！	うたたP,うたたP
Snow Angel　WHETHE	WHETHE
もっと　伸びろ　ぼくの　動画	卑屈P,卑屈P,卑屈P
爪櫛	ネジP,ネジP,ネジP
ハルヨイ	ふなむしP,ふなむしP,ふなむしP
お前、豆腐を嘗めんなよ	トマ豆腐,トマ豆腐,トマ豆腐
I am	トマ豆腐,トマ豆腐,トマ豆腐
Ash　コーホーP	コーホーP,コーホーP,コーホーP
物理屋のサヨナラ	なっとくP,なっとくP,なっとくP
病んで☆Fairy heart	乱数P,乱数P,乱数P
明日へ舞う桜（はな）	すも～かぁP,すも～かぁP,すも～かぁP
やさしく輝く月のように	ワンカップP,ワンカップP
台風と橋	ワンカップP,ワンカップP
Marionet	HAL,HAL,HAL
しんぎん’ふぉーゆぅ	じゅるP,じゅるP
おしまいだぜ	プーチンP,プーチンP,プーチンP
ゆめをみようよ。	プーチンP,プーチンP,プーチンP
Soar	流星P,流星P,流星P
春！桜！ニンジャ！	はややP,はややP,はややP
月歌	あわあわp,あわあわp,あわあわp
てむてららる ちょむちょめぷ	daniwell,daniwell
子猫は独り遥か雪に埋もれてわたしを見つめる	daniwell,daniwell
Celestial Symphony	ミニスカP,ミニスカP,流星P,ミニスカP
パステルライナー☆	鮭P(Shake Sphere),鮭P(Shake Sphere),鮭P(Shake Sphere)
Over Flow	鮭P(Shake Sphere),鮭P(Shake Sphere),鮭P(Shake Sphere)
Dummy Clock	束子P,束子P,束子P
ボクとクモ	ほのぼのP,ほのぼのP,ほのぼのP
RING×RING×RING	OSTER project,OSTER project,OSTER project
soda	あわあわp,あわあわp,あわあわp
森之宮神療所☆	くちばしP,くちばしP,くちばしP
本日営業中	くちばしP,くちばしP,くちばしP
フライングスタート	リョータイ,ちえP,ちえP
桜月	ハニー,ヽ(ヽ･∀∀･)にこP,ヽ(ヽ･∀∀･)にこP
Aurora　RozenkreuzP	RozenkreuzP,RozenkreuzP,RozenkreuzP
さくら　ぶりるP	ぶりるP,ぶりるP,ぶりるP
Higher Than Clouds	RozenkreuzP,RozenkreuzP,RozenkreuzP
きょうも、あしたも	バレンタインP,バレンタインP,バレンタインP
すすすす、すき、だあいすき	ジェバンニP,ジェバンニP
Rosario	柏餅P,柏餅P,柏餅P
MAZE ～終わりのない地図～	はややP,はややP,はややP
サッドソング	パレットP,パレットP,パレットP,KARENT,るめこ
全部気のせい！	長靴P,長靴P,長靴P,初音ミク
のんだくれ帝国の逆襲	長靴P,長靴P,長靴P,初音ミク
桜吹雪　ぢょんP	Asaki No'9,ぢょんP,ぢょんP
みくみくちぇっく♪	柏餅P,柏餅P,柏餅P
フルスイング	KEI,KEI,KEI
プレゼント　KEI	KEI,KEI,KEI
Everybody Say Hello	Glint Of Sound,Glint Of Sound,Glint Of Sound
JUNK　keiki	keiki,keiki,keiki
Futures－ミライノオト－	DigitalMode,DigitalMode,DigitalMode
紅一葉	黒うさP,黒うさP,黒うさP,KARENT
桜色自転車	ぶちP（ぶちねこ）,うさまるP
Glass Memories	柏餅P,柏餅P,柏餅P,初音ミク
勿忘草 -Forget Me Not-	柏餅P,柏餅P,柏餅P
Dear　19's Sound Factory	19's Sound Factory,19's Sound Factory,19's Sound Factory,作者ブログ
雨　おとなり　晴天！	ファイトP,ファイトP,ピアプロ
世界に一人のクズ野郎　
ハッピーバースデー　パンク版　
下剋上(完)	一行P,一行P,一行P
しあわせな王子	ナタP,ナタP,ナタP
暗い森のサーカス	マチゲリータP,マチゲリータP,マチゲリータP
初音ミクの消失 -DEAD END-	cosMo（暴走P）,cosMo（暴走P）,cosMo（暴走P）
命令	コーホーP,コーホーP,コーホーP
蒼-BLUE-	蒼P,蒼P,蒼P
フリージア　～雨上がりに誘われて～	ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会
フリージア　～Longing～	ボカロ互助会,ボカロ互助会,ボカロ互助会,ボカロ互助会
イケ恋歌	ダラリ,れれれP,れれれP
ヘタ恋歌	ダラリ,れれれP,れれれP
夕日坂	doriko,doriko,doriko
息吹	ゆにめもP,ゆにめもP,ゆにめもP
さんきゅ！	kznr,kznr,kznr
Hello Windows　
ちょこまじ☆ろんぐ	OSTER project,OSTER project,OSTER project,OSTER's originalのまとめサイト
青空を見つけた日	GonGoss,GonGoss,GonGoss
Nostalogic (radio edit)	yuukiss,yuukiss,yuukiss
素直になりたい　
キミドコ	saoring,Kazuto,Kazuto
うまくやらなきゃ！　
Möbius　∀studio　
怠慢アンソロジー　
たまねぎオニオン　
中毒少女２　
重恋歌-Jyurenka-	ヤンデレP,ヤンデレP,ヤンデレP
激嬢想歌-Gekijyousouka-	ヤンデレP,ヤンデレP,ヤンデレP
ピロリ菌のうた	ピロリロP,ピロリロP,ピロリロP
氷葬花-Hyousouka-	ヤンデレP,ヤンデレP,ヤンデレP
2丁目ブルース～あんたあたいの何なのさ…～	マチゲリータP,マチゲリータP,マチゲリータP
旋律王姫-Senritsuouki-	ヤンデレP,ヤンデレP,ヤンデレP
innocent summoners	木本雅彦,木本雅彦,木本雅彦
sugar chocolate waffle	Shibayan,Shibayan,Shibayan
星の駅　
幻想論	キャプテンミライ,キャプテンミライ,キャプテンミライ
どことなくなんとなく	キャプテンミライ,キャプテンミライ,キャプテンミライ
オトメラブコメレンアイジジョウ	杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）
マケナイワタシノコイノウタ	杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）
みくみくにしてあげたい	コギトP,コギトP,コギトP
鬼の面	なんかP,なんかP,なんかP
今宵カーニバル	なんかP,なんかP,なんかP
ココロ・キセキ	ジュンP,トラボルタP,ジュンP,トラボルタP,ジュンP
10のやくそく	orange,HMOとかの中の人
スイミー　底辺P	底辺P,底辺P
帰り道　涼風P	涼風P,涼風P,涼風P
わたしのいくところ　
season	クマー@Taken♪,harunacute,harunacute,PIAPRO
買い物がかり	はややP,はややP,はややP
ニコニコ・ラプソディー	彩音P,彩音P,彩音P
ニコニコ替え唄メドレー Part 1	inokix,inokix,inokix
しあわせなねこのうた	帽子屋,yasu,yasu
すくーる・うぉーたー・こすちゅーむ	すくみずP,すくみずP,すくみずP
Traveler!	杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）
ユメロケッツ	杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）,杏あめ（匿名希望の東京都在住）
ソニック☆サイクラー　～恋のちゃりんこダッシュ！～	はいのことん,じゅるP,じゅるP
ちび！	ちびP,ちびP
一日が初音ミク	乱数P,乱数P,乱数P
にじいろ。	10日P,10日P
My☆Revolution	病気P,病気P,病気P
ツンデ恋歌	ダラリ,れれれP,れれれP
天使は旅立つ	SACK,SACK,SACK
